tp,fp,tn,fn,precision,recall,f1_score,runtime
0,2,3,1,0.0,0.0,0.0,0.002647876739501953
0,2,3,1,0.0,0.0,0.0,0.0014467239379882812
1,1,4,0,0.5,1.0,0.6666666666666666,0.0013697147369384766
1,2,3,0,0.3333333333333333,1.0,0.5,0.0013992786407470703
1,1,4,0,0.5,1.0,0.6666666666666666,0.00482177734375
1,3,2,0,0.25,1.0,0.4,0.0028426647186279297
0,1,4,1,0.0,0.0,0.0,0.004829883575439453
1,3,2,0,0.25,1.0,0.4,0.001382589340209961
0,3,2,1,0.0,0.0,0.0,0.0016968250274658203
0,2,3,1,0.0,0.0,0.0,0.0015118122100830078
0,2,3,1,0.0,0.0,0.0,0.0017275810241699219
1,3,2,0,0.25,1.0,0.4,0.003498077392578125
0,4,1,1,0.0,0.0,0.0,0.0013861656188964844
0,4,1,1,0.0,0.0,0.0,0.0038328170776367188
0,3,2,1,0.0,0.0,0.0,0.0016658306121826172
0,4,1,1,0.0,0.0,0.0,0.003894805908203125
1,3,2,0,0.25,1.0,0.4,0.0017542839050292969
1,3,2,0,0.25,1.0,0.4,0.0017459392547607422
1,3,2,0,0.25,1.0,0.4,0.0016603469848632812
1,2,3,0,0.3333333333333333,1.0,0.5,0.0017707347869873047
0,2,3,1,0.0,0.0,0.0,0.002687692642211914
1,2,3,0,0.3333333333333333,1.0,0.5,0.0026226043701171875
1,4,1,0,0.2,1.0,0.3333333333333333,0.004100799560546875
1,1,4,0,0.5,1.0,0.6666666666666666,0.0037271976470947266
0,1,4,1,0.0,0.0,0.0,0.001714944839477539
0,2,3,1,0.0,0.0,0.0,0.0015718936920166016
0,1,4,1,0.0,0.0,0.0,0.002495288848876953
0,3,2,1,0.0,0.0,0.0,0.0014224052429199219
1,3,2,0,0.25,1.0,0.4,0.0029726028442382812
1,3,2,0,0.25,1.0,0.4,0.003926753997802734
1,2,3,0,0.3333333333333333,1.0,0.5,0.0026280879974365234
1,3,2,0,0.25,1.0,0.4,0.0016944408416748047
1,4,1,0,0.2,1.0,0.3333333333333333,0.0014865398406982422
1,3,2,0,0.25,1.0,0.4,0.002417325973510742
1,3,2,0,0.25,1.0,0.4,0.00160980224609375
1,2,3,0,0.3333333333333333,1.0,0.5,0.002660512924194336
1,3,2,0,0.25,1.0,0.4,0.0014615058898925781
0,3,2,1,0.0,0.0,0.0,0.0014312267303466797
0,0,5,1,0,0.0,0.0,0.009418725967407227
0,2,3,1,0.0,0.0,0.0,0.0029458999633789062
0,1,4,1,0.0,0.0,0.0,0.0016036033630371094
0,4,1,1,0.0,0.0,0.0,0.0014040470123291016
1,3,2,0,0.25,1.0,0.4,0.0014319419860839844
1,4,1,0,0.2,1.0,0.3333333333333333,0.00512242317199707
1,1,4,0,0.5,1.0,0.6666666666666666,0.0012912750244140625
0,2,3,1,0.0,0.0,0.0,0.0029172897338867188
1,4,1,0,0.2,1.0,0.3333333333333333,0.0034754276275634766
0,2,3,1,0.0,0.0,0.0,0.0037088394165039062
1,5,0,0,0.16666666666666666,1.0,0.2857142857142857,0.0027925968170166016
1,2,3,0,0.3333333333333333,1.0,0.5,0.0025501251220703125
0,4,1,1,0.0,0.0,0.0,0.005165576934814453
0,3,2,1,0.0,0.0,0.0,0.001703023910522461
0,1,4,1,0.0,0.0,0.0,0.00269317626953125
1,2,3,0,0.3333333333333333,1.0,0.5,0.004773378372192383
0,1,4,1,0.0,0.0,0.0,0.0014681816101074219
0,3,2,1,0.0,0.0,0.0,0.0026290416717529297
1,1,4,0,0.5,1.0,0.6666666666666666,0.0014719963073730469
1,1,4,0,0.5,1.0,0.6666666666666666,0.0014259815216064453
1,3,2,0,0.25,1.0,0.4,0.0017273426055908203
0,2,3,1,0.0,0.0,0.0,0.0050122737884521484
1,3,2,0,0.25,1.0,0.4,0.0014259815216064453
0,5,0,1,0.0,0.0,0.0,0.006931781768798828
1,3,2,0,0.25,1.0,0.4,0.001657724380493164
1,4,1,0,0.2,1.0,0.3333333333333333,0.0016870498657226562
1,1,4,0,0.5,1.0,0.6666666666666666,0.0025339126586914062
0,2,3,1,0.0,0.0,0.0,0.0014393329620361328
0,2,3,1,0.0,0.0,0.0,0.0039904117584228516
1,3,2,0,0.25,1.0,0.4,0.0029211044311523438
1,3,2,0,0.25,1.0,0.4,0.0030493736267089844
1,2,3,0,0.3333333333333333,1.0,0.5,0.0013415813446044922
1,2,3,0,0.3333333333333333,1.0,0.5,0.0015609264373779297
0,2,3,1,0.0,0.0,0.0,0.0025773048400878906
1,3,2,0,0.25,1.0,0.4,0.0014119148254394531
0,1,4,1,0.0,0.0,0.0,0.001603841781616211
0,2,3,1,0.0,0.0,0.0,0.0014052391052246094
1,0,5,0,1.0,1.0,1.0,0.0017206668853759766
0,2,3,1,0.0,0.0,0.0,0.0013358592987060547
1,2,3,0,0.3333333333333333,1.0,0.5,0.0013654232025146484
1,3,2,0,0.25,1.0,0.4,0.0014584064483642578
0,2,3,1,0.0,0.0,0.0,0.0026280879974365234
1,3,2,0,0.25,1.0,0.4,0.00489497184753418
0,3,2,1,0.0,0.0,0.0,0.003831148147583008
1,2,3,0,0.3333333333333333,1.0,0.5,0.001382589340209961
1,3,2,0,0.25,1.0,0.4,0.0029268264770507812
1,2,3,0,0.3333333333333333,1.0,0.5,0.0041370391845703125
0,1,4,1,0.0,0.0,0.0,0.0013053417205810547
0,3,2,1,0.0,0.0,0.0,0.0017523765563964844
0,2,3,1,0.0,0.0,0.0,0.0014104843139648438
0,3,2,1,0.0,0.0,0.0,0.0014338493347167969
1,4,1,0,0.2,1.0,0.3333333333333333,0.0016980171203613281
0,4,1,1,0.0,0.0,0.0,0.0014050006866455078
1,3,2,0,0.25,1.0,0.4,0.001497507095336914
0,3,2,1,0.0,0.0,0.0,0.005856037139892578
1,3,2,0,0.25,1.0,0.4,0.001428842544555664
1,2,3,0,0.3333333333333333,1.0,0.5,0.0027923583984375
0,2,3,1,0.0,0.0,0.0,0.0017292499542236328
0,2,3,1,0.0,0.0,0.0,0.004922628402709961
1,2,3,0,0.3333333333333333,1.0,0.5,0.0017271041870117188
1,2,3,0,0.3333333333333333,1.0,0.5,0.0015184879302978516
0,3,2,1,0.0,0.0,0.0,0.0016491413116455078
1,2,3,0,0.3333333333333333,1.0,0.5,0.002763986587524414
0,2,3,1,0.0,0.0,0.0,0.0017015933990478516
1,3,2,0,0.25,1.0,0.4,0.002465963363647461
1,2,3,0,0.3333333333333333,1.0,0.5,0.0014712810516357422
1,2,3,0,0.3333333333333333,1.0,0.5,0.002633810043334961
0,1,4,1,0.0,0.0,0.0,0.0013110637664794922
0,4,1,1,0.0,0.0,0.0,0.0015463829040527344
1,3,2,0,0.25,1.0,0.4,0.0017044544219970703
0,3,2,1,0.0,0.0,0.0,0.0016832351684570312
1,2,3,0,0.3333333333333333,1.0,0.5,0.0014238357543945312
0,5,0,1,0.0,0.0,0.0,0.0014166831970214844
1,3,2,0,0.25,1.0,0.4,0.0026094913482666016
1,3,2,0,0.25,1.0,0.4,0.003620624542236328
0,2,3,1,0.0,0.0,0.0,0.0016734600067138672
0,2,3,1,0.0,0.0,0.0,0.0027008056640625
0,5,0,1,0.0,0.0,0.0,0.0014736652374267578
0,2,3,1,0.0,0.0,0.0,0.0023882389068603516
1,3,2,0,0.25,1.0,0.4,0.0014705657958984375
1,0,5,0,1.0,1.0,1.0,0.002560853958129883
1,4,1,0,0.2,1.0,0.3333333333333333,0.0038373470306396484
1,2,3,0,0.3333333333333333,1.0,0.5,0.003794431686401367
1,3,2,0,0.25,1.0,0.4,0.007081508636474609
